,of_the,in_the,there_was,of_course,that_they,with_a,and_the,from_the,he_was,everything_was,but_it,it_was,right_out,me_.,in_a,had_been,he_had,i_'ve,enough_to,an_old,not_be,was_an,of_this,which_he,over_the,were_sailing,it_had,as_it,as_i,he_is,now_.,we_shall,they_would,the_bottom,bottom_of,out_from,if_he,here_were,leaving_the,of_metal,of_steel,they_should,was_of,leaning_over,else_.,'ve_always,such_as,watching_the,would_kill,nerves_of,been_drawn,of_life,course_of,for_three,the_smoke,steel_.,were_scattered,this_paper,the_very,take_you,to_your,a_slow,street_and,nothing_else,away_to,three_hours,were_passing,and_shouting,somewhere_in,to_shake,in_life,down_upon,life_and,above_my,my_station,station_in,upon_my,still_.,a_soft,dressed_in,shall_take,filling_the,kill_me,i_hold,books_.,it_contained,suit_of,the_passage,laid_down,a_suit,my_books,delay_.,should_not,smoke_and,always_been,but_otherwise,it_without,the_box,scattered_over,passage_but,had_laid,box_but,were_enough,you_away,would_naturally,hours_we,becomes_a,the_existence,existence_of,passing_over,the_roots,roots_.,soft_cloth,reminded_of,was_deadly,is_funny,importance_that,despoiled_of,been_insulted,arranging_the,be_suspected,suspected_of,sailing_over,been_hanging,destroy_it,were_leaning,otherwise_they,and_packages,the_strand,forgetful_of,life_as,your_aunt,without_delay,been_transported,been_deposited,'s_at,cap_which,banished_or,or_torn,been_seduced,and_literature,retaining_the,the_ever-changing,been_proud,very_first,was_quietly,kaleidoscope_of,and_disgrace,literature_were,been_banished,uncertain_of,seduced_or,transported_above,a_colder,a_historical,flows_through,be_uncertain,be_reminded,old_historic,contained_nothing,cloth_cap,of_heather,clock_ticking,deposited_above,and_flows,insulted_or,a_double-edged,been_stifled,stifled_or,be_despoiled,drawn_above,a_nicer,fleet_street,aunt_'s,old_clock,strand_.,together_watching,hanging_above,is_violent,the_photograph,discs_of,we_strolled,at_harrow,strolled_about,ebbs_and,it_ebbs,old_mortal,naturally_destroy,funny_we,heather_tweed,harrow_.,quietly_dressed,old_skeleton,about_together,tweed_with,together_leaving,disgrace_would,packages_were,umbrellas_were,deadly_still,be_forgetful,and_umbrellas,first_importance,hold_here,ticking_loudly,been_hacked,is_petty,is_nourishing,soft_juicy,old_university,together_retaining,soft_shimmering,and_small-pox,small-pox_were,tilting_over,soft_humming
of_the,449567,72935,7161,1385,4215,11713,50689,22915,12742,117,1976,18935,57,1600,14152,14187,15418,496,1435,1061,1985,1261,4135,5676,6143,9,2279,3372,3945,1965,291,582,1404,1931,1637,490,2306,77,410,37,113,652,1168,68,120,17,984,417,23,39,62,1512,1336,196,336,45,91,25,3208,66,340,130,349,176,362,134,91,49,87,100,210,556,979,29,10,52,412,100,153,235,69,67,15,56,80,86,108,723,136,53,12,45,483,133,193,23,114,466,72,9,105,9,29,7,42,13,51,320,364,39,151,19,1,81,3,0,29,20,9,30,27,53,7,6,17,11,8,4,71,63,141,10,104,19,15,60,13,6,3,4,36,8,8,16,111,19,1,22,4,12,13,2,1,1,1,6,1,18,1,9,2,17,3,0,5,4,0,0,1,3,3,1,10,78,11,22,3,8,0,39,1,17,1,16,3,0,1,0,0,0,1,1,1,6,0,3,0,0,1,1,1,3,11,0,0,1,0,0,2,0,1,0,0,0,0,0
in_the,72935,223923,7546,1000,2377,7329,21323,8925,9069,133,1221,12492,26,1173,7934,8928,10449,646,878,850,1162,846,2892,3307,2854,12,1483,2046,2791,1370,247,384,936,734,533,235,1842,40,201,16,55,347,403,38,96,19,664,219,19,4,28,1080,1732,151,193,17,32,16,2146,51,222,66,282,143,224,102,39,55,265,77,154,329,625,18,8,80,296,83,96,287,27,41,15,40,78,37,76,538,82,36,20,18,311,86,134,17,70,319,25,6,70,8,12,5,20,3,33,110,123,18,63,16,0,27,2,1,15,9,4,6,18,48,1,8,10,4,5,2,57,23,106,11,33,7,13,24,9,2,4,1,10,4,3,8,88,13,0,15,0,6,5,3,0,1,0,5,0,7,0,7,3,7,6,0,0,0,0,3,1,0,2,2,3,49,12,11,4,3,0,25,1,8,2,10,1,0,0,0,0,0,1,0,0,6,0,0,0,1,3,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0
there_was,7161,7546,35524,282,294,1036,2820,1296,1362,39,252,2367,1,291,1295,1146,1461,38,210,204,183,1216,317,442,398,1,260,330,422,38,96,11,144,111,76,53,334,9,25,5,16,55,124,3,48,5,104,11,4,1,4,131,43,24,21,1,3,2,246,0,14,5,33,117,31,7,11,8,25,11,26,42,68,8,1,2,39,23,40,17,2,4,1,2,14,8,14,45,14,5,2,11,62,23,25,6,13,39,4,1,12,3,4,1,5,0,0,8,8,1,7,4,0,6,1,0,4,1,0,3,2,2,0,2,0,0,2,0,3,1,7,0,3,0,0,4,0,0,0,0,0,0,1,3,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,1,8,4,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
of_course,1385,1000,282,11863,107,246,509,194,386,6,167,771,0,112,334,268,410,109,59,31,104,39,80,75,49,0,57,76,120,121,26,33,86,17,9,7,139,1,3,1,2,13,267,0,13,8,24,1,1,1,1,20,104,6,0,0,0,1,52,5,34,0,5,7,5,2,2,2,0,5,4,11,21,2,0,2,8,5,1,1,1,0,1,1,3,2,1,6,5,3,1,0,35,0,6,3,5,6,0,0,1,0,0,3,5,0,0,3,4,1,1,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,1,0,2,0,4,3,0,1,0,1,1,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that_they,4215,2377,294,107,14771,347,1390,669,461,10,163,1354,3,89,585,776,588,24,100,40,242,47,169,136,150,1,94,135,206,62,19,22,1211,29,19,13,112,2,13,3,2,908,25,0,21,2,51,12,10,1,5,80,35,12,4,2,1,0,123,1,28,1,13,11,18,5,4,3,6,3,5,25,43,1,0,0,21,2,3,8,0,2,2,2,1,1,1,18,4,2,1,4,115,2,11,0,5,8,0,0,10,1,2,1,1,0,1,10,11,1,2,1,2,8,0,0,2,2,0,1,3,2,1,1,2,0,2,0,3,0,4,0,7,2,0,2,1,0,0,0,1,1,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with_a,11713,7329,1036,246,347,54391,3739,2147,2518,15,238,2976,6,369,3061,1701,2428,158,233,378,240,254,472,966,769,2,338,388,673,289,57,65,151,150,102,80,585,9,41,8,28,53,129,14,21,5,176,44,2,5,5,151,76,26,28,9,11,3,325,14,65,97,38,28,53,21,8,12,11,33,38,117,109,2,0,5,98,24,121,172,5,32,9,11,11,15,51,62,32,40,5,5,69,19,33,1,21,75,9,0,17,3,0,2,4,2,7,10,14,6,14,3,5,14,3,0,3,1,0,0,3,8,1,1,2,1,0,1,7,5,17,2,5,1,3,7,8,0,0,1,2,0,0,1,18,2,0,5,0,3,0,0,0,0,0,0,0,4,0,1,8,0,0,0,0,0,1,0,1,1,0,0,2,13,2,1,0,1,1,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
and_the,50689,21323,2820,509,1390,3739,131453,6488,3664,83,578,6563,17,585,4708,4542,4212,238,402,305,550,340,1224,1717,2197,4,755,1166,1198,595,98,165,494,308,210,146,747,29,129,16,36,212,313,11,48,5,367,125,8,9,20,553,228,60,177,12,39,6,841,23,140,34,168,72,197,38,24,27,20,42,78,209,539,12,1,12,135,73,45,92,22,23,12,14,24,36,47,181,37,10,11,20,142,80,72,4,28,152,31,5,56,0,15,3,16,2,24,58,57,12,46,12,0,14,3,0,3,9,0,8,14,18,2,3,4,2,1,1,19,12,59,4,31,3,11,28,4,0,3,1,10,1,1,4,34,2,0,15,5,2,3,3,0,0,2,2,0,2,0,1,0,5,2,0,3,3,0,2,0,1,0,1,4,21,4,6,3,2,0,8,0,2,0,2,2,0,0,0,1,0,0,0,0,3,2,1,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0
from_the,22915,8925,1296,194,669,2147,6488,56546,2089,27,286,3215,3,283,2456,2617,2988,123,206,156,305,190,726,1114,861,1,501,573,787,292,56,78,254,308,214,624,402,15,64,8,33,98,105,11,16,3,128,49,3,6,18,305,124,27,99,9,9,6,620,10,63,21,66,28,59,19,12,3,13,27,32,145,144,5,2,14,75,16,42,57,7,23,4,7,15,24,20,128,21,10,5,9,77,21,38,9,20,83,10,4,25,2,2,5,4,1,8,16,16,5,25,5,0,5,1,0,1,0,0,2,10,9,1,3,5,2,0,0,15,5,24,2,17,10,6,5,4,0,1,0,3,1,0,0,103,3,0,2,1,8,2,1,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,11,0,3,0,2,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he_was,12742,9069,1362,386,461,2518,3664,2089,69957,31,323,3771,4,383,3153,2590,7488,91,534,308,305,866,509,3041,536,2,327,437,508,316,125,20,217,98,74,54,1971,3,85,1,12,73,470,15,68,6,117,51,11,0,8,211,126,43,23,5,4,5,411,4,38,16,43,46,77,13,14,11,28,33,66,73,194,0,0,7,46,38,16,209,3,9,8,1,22,6,57,48,20,18,3,8,120,11,60,12,22,53,1,0,17,1,4,3,3,0,3,14,15,8,8,0,0,12,7,0,5,2,1,2,1,16,4,0,4,2,1,0,10,6,26,1,16,0,1,6,5,2,1,2,5,2,0,1,17,9,0,4,0,1,0,0,0,0,0,0,0,2,0,1,5,1,0,1,0,0,0,0,0,0,0,0,5,17,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everything_was,117,133,39,6,10,15,83,27,31,756,2,57,0,5,24,33,38,1,2,1,6,2,4,7,12,0,9,23,10,0,3,0,4,2,1,2,9,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
